real_time_12h,elapsed_hms,blink_count
01:39:33 PM,0:00:03,1
01:39:36 PM,0:00:06,2
01:39:37 PM,0:00:07,3
01:39:39 PM,0:00:09,4
01:39:42 PM,0:00:12,5
01:39:44 PM,0:00:14,6
01:39:45 PM,0:00:16,7
01:39:47 PM,0:00:17,8
01:39:52 PM,0:00:22,10
01:39:55 PM,0:00:25,11
01:39:57 PM,0:00:28,12
01:40:00 PM,0:00:30,13
01:40:01 PM,0:00:31,14
01:40:02 PM,0:00:32,15
01:40:03 PM,0:00:33,16
01:40:04 PM,0:00:34,17
01:40:08 PM,0:00:38,18
01:40:10 PM,0:00:40,19
01:40:16 PM,0:00:46,20
01:40:26 PM,0:00:57,21
01:40:29 PM,0:00:59,22
01:40:30 PM,0:01:00,23
01:40:31 PM,0:01:01,24
01:40:47 PM,0:01:17,25
01:40:48 PM,0:01:18,26
01:40:50 PM,0:01:20,27
01:40:51 PM,0:01:21,28
01:40:51 PM,0:01:22,29
01:40:53 PM,0:01:23,31
