real_time_12h,elapsed_hms,blink_count
10:25:22 PM,0:00:02,1
08:11:22 PM,0:00:02,2
11:16:56 PM,0:00:06,2
11:02:14 PM,0:00:04,1
08:11:36 PM,0:00:06,5
08:18:43 PM,0:00:02,1
11:52:27 PM,0:00:08,3
11:52:28 PM,0:00:09,5
10:56:33 PM,0:00:13,11
08:18:54 PM,0:00:13,5
11:52:33 PM,0:00:14,7
11:13:43 PM,0:00:19,8
11:13:45 PM,0:00:21,10
11:13:46 PM,0:00:22,11
11:13:48 PM,0:00:24,13
08:19:05 PM,0:00:24,11
10:44:11 PM,0:00:30,22
10:25:53 PM,0:00:32,14
11:13:58 PM,0:00:34,14
10:26:02 PM,0:00:42,19
10:26:04 PM,0:00:44,21
09:52:26 PM,0:00:45,20
08:30:08 PM,0:00:02,1
11:52:24 PM,0:00:05,1
08:37:39 PM,0:00:02,1
11:16:52 PM,0:00:03,1
08:37:42 PM,0:00:05,3
11:17:04 PM,0:00:15,5
11:13:40 PM,0:00:17,6
08:39:57 PM,0:00:03,1
08:39:58 PM,0:00:04,2
08:40:03 PM,0:00:09,3
08:40:08 PM,0:00:14,4
08:40:09 PM,0:00:15,5
08:40:11 PM,0:00:17,6
11:13:44 PM,0:00:20,9
10:32:37 PM,0:00:31,5
10:27:20 PM,0:00:33,5
08:40:28 PM,0:00:34,10
10:25:56 PM,0:00:35,16
10:57:48 PM,0:00:36,4
10:57:51 PM,0:00:38,5
10:26:00 PM,0:00:39,18
09:52:22 PM,0:00:40,18
10:27:28 PM,0:00:41,7
08:40:36 PM,0:00:42,17
10:26:03 PM,0:00:43,20
08:40:39 PM,0:00:45,19
10:32:53 PM,0:00:47,6
10:44:32 PM,0:00:50,24
09:35:34 PM,0:00:51,17
10:44:41 PM,0:01:00,26
10:26:21 PM,0:01:01,32
08:40:55 PM,0:01:01,25
09:33:44 PM,0:01:03,11
08:41:33 PM,0:00:04,1
08:41:34 PM,0:00:06,2
11:13:31 PM,0:00:07,2
08:41:36 PM,0:00:08,4
08:41:37 PM,0:00:08,5
08:41:37 PM,0:00:09,6
08:41:38 PM,0:00:09,7
11:52:29 PM,0:00:10,6
10:57:24 PM,0:00:11,3
11:13:36 PM,0:00:12,5
08:41:41 PM,0:00:13,11
08:41:43 PM,0:00:15,12
10:56:36 PM,0:00:16,13
08:41:46 PM,0:00:17,14
08:41:47 PM,0:00:19,15
08:41:49 PM,0:00:21,16
08:41:51 PM,0:00:22,17
08:42:03 PM,0:00:35,18
08:42:06 PM,0:00:38,19
08:42:07 PM,0:00:39,20
08:42:09 PM,0:00:40,21
08:42:11 PM,0:00:42,22
08:42:12 PM,0:00:44,23
08:42:13 PM,0:00:45,24
08:42:19 PM,0:00:51,25
11:17:42 PM,0:00:52,6
10:27:43 PM,0:00:56,12
10:26:19 PM,0:00:59,31
10:26:25 PM,0:01:05,34
11:17:56 PM,0:01:07,8
10:26:30 PM,0:01:10,36
10:26:31 PM,0:01:11,38
09:23:09 PM,0:01:12,17
10:33:19 PM,0:01:13,9
09:43:09 PM,0:01:14,25
09:43:11 PM,0:01:16,26
10:24:31 PM,0:01:17,10
08:43:36 PM,0:00:03,1
08:43:37 PM,0:00:04,2
08:43:39 PM,0:00:06,3
08:43:40 PM,0:00:07,4
08:43:44 PM,0:00:11,5
08:43:45 PM,0:00:13,6
08:43:47 PM,0:00:14,7
08:43:47 PM,0:00:15,8
08:43:48 PM,0:00:15,9
08:43:50 PM,0:00:17,10
10:20:46 PM,0:00:18,4
08:43:52 PM,0:00:20,12
08:43:53 PM,0:00:21,13
08:43:54 PM,0:00:21,14
08:43:57 PM,0:00:24,15
08:44:04 PM,0:00:31,16
08:44:05 PM,0:00:32,17
08:44:06 PM,0:00:34,18
08:44:07 PM,0:00:35,19
08:47:56 PM,0:00:02,1
08:47:57 PM,0:00:03,2
08:47:58 PM,0:00:04,3
08:48:00 PM,0:00:05,4
08:48:04 PM,0:00:10,5
08:48:05 PM,0:00:11,6
08:48:07 PM,0:00:13,7
08:48:09 PM,0:00:15,8
08:48:10 PM,0:00:16,9
08:48:11 PM,0:00:17,10
08:48:14 PM,0:00:19,11
08:48:15 PM,0:00:20,12
08:49:28 PM,0:00:02,13
08:49:30 PM,0:00:04,14
08:49:32 PM,0:00:06,15
08:50:09 PM,0:00:03,1
08:50:18 PM,0:00:12,3
08:50:28 PM,0:00:22,4
10:25:49 PM,0:00:28,11
10:26:08 PM,0:00:48,24
09:42:57 PM,0:01:02,21
09:49:22 PM,0:01:09,13
10:24:29 PM,0:01:15,9
10:23:37 PM,0:00:23,7
10:20:53 PM,0:00:25,5
09:42:22 PM,0:00:26,14
10:29:46 PM,0:00:27,4
09:22:45 PM,0:00:49,5
