real_time_12h,elapsed_hms,blink_count
01:59:14 PM,0:00:03,1
01:59:16 PM,0:00:04,2
01:59:17 PM,0:00:05,3
01:59:18 PM,0:00:06,4
01:59:38 PM,0:00:26,5
01:59:39 PM,0:00:28,6
01:59:47 PM,0:00:36,7
01:59:49 PM,0:00:37,8
01:59:50 PM,0:00:39,9
02:00:00 PM,0:00:48,10
02:00:02 PM,0:00:51,11
02:00:13 PM,0:01:02,12
02:00:14 PM,0:01:03,13
02:00:15 PM,0:01:04,14
02:00:26 PM,0:01:15,15
02:00:28 PM,0:01:16,16
02:00:28 PM,0:01:17,17
02:00:30 PM,0:01:18,19
02:00:31 PM,0:01:19,20
02:00:32 PM,0:01:21,21
02:00:33 PM,0:01:22,22
02:00:34 PM,0:01:23,23
02:00:35 PM,0:01:24,24
02:00:39 PM,0:01:28,25
02:00:43 PM,0:01:32,26
02:00:45 PM,0:01:34,27
02:00:48 PM,0:01:37,28
