real_time_12h,elapsed_hms,blink_count
05:05:08 PM,0:00:08,1
05:05:11 PM,0:00:11,2
05:05:12 PM,0:00:12,3
05:05:13 PM,0:00:13,4
05:05:14 PM,0:00:14,5
05:05:15 PM,0:00:15,6
05:05:18 PM,0:00:18,7
05:05:19 PM,0:00:19,8
05:05:21 PM,0:00:21,9
05:05:25 PM,0:00:25,10
05:05:27 PM,0:00:27,11
05:05:29 PM,0:00:29,12
05:05:30 PM,0:00:30,13
05:05:35 PM,0:00:35,14
05:05:38 PM,0:00:38,15
05:05:39 PM,0:00:39,16
05:05:41 PM,0:00:41,17
05:05:42 PM,0:00:42,18
05:05:44 PM,0:00:44,19
05:05:45 PM,0:00:45,20
05:05:46 PM,0:00:46,21
05:05:52 PM,0:00:52,22
05:05:54 PM,0:00:54,23
05:05:57 PM,0:00:57,24
05:06:06 PM,0:01:06,25
05:06:08 PM,0:01:08,26
05:06:09 PM,0:01:09,27
05:06:12 PM,0:01:12,28
05:06:14 PM,0:01:14,29
05:06:21 PM,0:01:21,30
