real_time,elapsed_time,blink_count,movie_name
13:01:00,0:02:00,5,TestMovie
2025-04-25 12:45:04,0:00:02,1,default
2025-04-25 12:45:08,0:00:06,2,default
2025-04-25 12:45:09,0:00:06,3,default
2025-04-25 12:45:09,0:00:07,4,default
2025-04-25 12:45:11,0:00:08,5,default
2025-04-25 12:45:14,0:00:11,6,default
2025-04-25 12:45:17,0:00:14,7,default
2025-04-25 12:45:22,0:00:19,8,default
2025-04-25 12:45:23,0:00:20,9,default
2025-04-25 12:45:24,0:00:22,10,default
2025-04-25 12:45:31,0:00:29,11,default
2025-04-25 12:45:32,0:00:30,12,default
2025-04-25 12:45:36,0:00:34,13,default
2025-04-25 12:45:37,0:00:35,14,default
