real_time,elapsed_time,blink_count,movie_name
2025-04-25 13:33:00,0:00:05,1,default
2025-04-25 13:33:01,0:00:06,2,default
2025-04-25 13:33:02,0:00:07,3,default
2025-04-25 13:33:03,0:00:08,4,default
2025-04-25 13:33:05,0:00:10,5,default
2025-04-25 13:33:07,0:00:13,6,default
2025-04-25 13:33:11,0:00:17,7,default
2025-04-25 13:33:13,0:00:18,8,default
2025-04-25 13:33:14,0:00:19,9,default
2025-04-25 13:33:14,0:00:19,10,default
2025-04-25 13:33:20,0:00:26,11,default
2025-04-25 13:33:24,0:00:30,12,default
2025-04-25 13:33:38,0:00:43,13,default
2025-04-25 13:33:41,0:00:47,14,default
2025-04-25 13:33:42,0:00:48,15,default
2025-04-25 13:33:49,0:00:54,16,default
2025-04-25 13:33:50,0:00:55,17,default
2025-04-25 13:33:53,0:00:58,18,default
